Nr.p.k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Iestādes veids,Iestādes tips,Pakļautība,Adrese,Tālrunis,Epasts,Direktors,Izglītojamo skaits 
21,LIEPĀJA,3037303587,"Mākslu izglītības kompetences centrs ""Liepājas Mūzikas, mākslas un dizaina vidusskola""",Profesionālās pamata un vidējās izglītības iestāde,Mākslu izglītības kompetences centrs,Kultūras ministrija,"AUSEKĻA IELA 11/15, LIEPĀJA, LV-3401",29107355,info@lmmdv.edu.lv,INGA AUZIŅA,323
22,LIEPĀJA,3097002320,"Rīgas Tehniskās universitātes aģentūra ""Rīgas Tehniskās universitātes Liepājas Jūrniecības koledža""",Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,"ULIHA IELA 5, LIEPĀJA, LV-3401",63484615,ljk@ljk.lv,,262
23,LUDZAS NOVADS,4297002587,"Latvijas Biozinātņu un tehnoloģiju universitātes aģentūra ""Latvijas Biozinātņu un tehnoloģiju universitātes Malnavas koledža""",Augstākās izglītības iestāde,Koledža,Zemkopības ministrija,"KĻAVU IELA 17, MALNAVA, MALNAVAS PAGASTS, LUDZAS NOVADS, LV-5750",65733274,info@malnavaskoledza.lv,SANDRA EŽMALE,183
24,OGRES NOVADS,4436003571,Ogres tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"OGRES MEŽA TEHNIKUMS, AIZUPES, TĪNŪŽU PAGASTS, OGRES NOVADS, LV-5001","65024254, 65022133, 65024479",ovt@ovt.lv,ILZE BRANTE,1554
25,OLAINES NOVADS,4397002316,"Rīgas Tehniskās universitātes aģentūra ""Rīgas Tehniskās universitātes Olaines Tehnoloģiju koledža""",Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,"ZEIFERTA IELA 2, OLAINE, OLAINES NOVADS, LV-2114",67962141,olaineskoledza@otk.lv,,151
26,RĒZEKNE,3136003574,Rēzeknes tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"VAROŅU IELA 11A, RĒZEKNE, LV-4604",64633664,pasts@rezeknestehnikums.lv,BENITA VIRBULE,925
27,RĒZEKNE,3137303629,"Mākslu izglītības kompetences centrs ""Latgales Mūzikas un mākslas vidusskola""",Profesionālās pamata un vidējās izglītības iestāde,Mākslu izglītības kompetences centrs,Kultūras ministrija,"ATBRĪVOŠANAS ALEJA 56, RĒZEKNE, LV-4601",29390214,pasts@lmmv.gov.lv,RAIMONDS ARBIDĀNS,226
28,RĪGA,3335003584,Rīgas Tirdzniecības profesionālā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Izglītības un zinātnes ministrija,"TOMSONA IELA 3/5, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",67371528,info@rtpv.edu.lv,INITA SAFRONOVA,575
29,RĪGA,3335003641,Rīgas Metālapstrādes profesionālā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Izglītības un zinātnes ministrija,"DZIRNAVU IELA 117, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1011",67288561,skola@rmpv.lv,,306
30,RĪGA,3335303589,Jāzepa Mediņa Rīgas Mūzikas vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Kultūras ministrija,"STABU IELA 10 K-4, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010",28352203,jmrmv@jmrmv.lv,AINARS ŠABLOVSKIS,163
31,RĪGA,3335803600,"Profesionālā vidusskola ""Victoria""",Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Juridiska vai fiziska persona,"MEŽA IELA 3, KURZEMES RAJONS, RĪGA, LV-1048","67807009, 29530400",victoria@riseba.lv,ANDŽELA DUBINSKA,471
32,RĪGA,3335803603,RTU Latvijas Jūras akadēmijas Jūrskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Izglītības un zinātnes ministrija,"FLOTES IELA 12 K-1, KURZEMES RAJONS, RĪGA, LV-1016",67432157,jurskola@latja.lv,ARNIS BANKOVIČS,429
33,RĪGA,3335803611,Starptautiskā CIDESCO Rīgas kosmētikas skola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Juridiska vai fiziska persona,"TALLINAS IELA 18, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1001",28388520,info@kosmetikasskola.lv,,54
34,RĪGA,3335803613,"Profesionālā vidusskola ""BEAUTY SCHOOL""",Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Juridiska vai fiziska persona,"PULKVEŽA BRIEŽA IELA 15 - 11, ZIEMEĻU RAJONS, RĪGA, LV-1010","67288246, 26556816",info@beautyschool.lv,SVETLANA ŠABAĻINA,34
35,RĪGA,3336003573,Rīgas Valsts tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"KRIŠJĀŅA VALDEMĀRA IELA 1C, ZIEMEĻU RAJONS, RĪGA, LV-1010",67324146,kanceleja@rvt.lv,DAGNIJA VANAGA,2347
36,RĪGA,3336003575,Rīgas Stila un modes tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"ŪDEĻU IELA 22, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1064",67532721,rsmt@rsmt.lv,ULRIKA NAUMOVA,691
37,RĪGA,3336003581,"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""",Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"NĪCGALES IELA 26, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035",67575580,rtrit@rtrit.lv,ILZE LOČMANE,1804
38,RĪGA,3337003582,Rīgas Mākslas un mediju tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Mākslu izglītības kompetences centrs,Izglītības un zinātnes ministrija,"JŪRMALAS GATVE 96, KURZEMES RAJONS, RĪGA, LV-1029",67427220,rmmt@rmmt.lv,GVIDO ZILŪZIS,1043
39,RĪGA,3337303585,"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""",Profesionālās pamata un vidējās izglītības iestāde,Mākslu izglītības kompetences centrs,Kultūras ministrija,"KRIŠJĀŅA VALDEMĀRA IELA 139, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",67360823,rdmv@rdmv.lv,ALVIS LĪDAKS,591
40,RĪGA,3337303586,"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""",Profesionālās pamata un vidējās izglītības iestāde,Mākslu izglītības kompetences centrs,Kultūras ministrija,"KALNCIEMA IELA 12, KURZEMES RAJONS, RĪGA, LV-1048",67601783,info@nmv.lv,JĀNIS ZIŅĢĪTIS,328
41,RĪGA,3397001284,Rīgas Celtniecības koledža,Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,"GAIZIŅA IELA 3, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050",29451105,rck@rck.lv,NORMUNDS GRINBERGS,605
42,RĪGA,3397002057,Rīgas Tehniskā koledža,Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,"BRASLAS IELA 16, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",67081400,brasla@kcrtk.lv,JĀNIS ROZENBLATS,1250
43,RĪGA,3397002593,"Latvijas Universitātes aģentūra ""Latvijas Universitātes Rīgas 1. medicīnas koledža""",Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,"TOMSONA IELA 37, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",67371147,medskola@medskola.lv,INTA MIĶELE,405
44,RĪGA,3397502629,Valsts policijas koledža,Augstākās izglītības iestāde,Koledža,Iekšlietu ministrija,"EZERMALAS IELA 10, ZIEMEĻU RAJONS, RĪGA, LV-1014",67735895,pasts@koledza.vp.gov.lv,DMITRIJS HOMENKO,24
45,RĪGA,3397702502,Rīgas Stradiņa universitātes Sarkanā Krusta medicīnas koledža,Augstākās izglītības iestāde,Koledža,Veselības ministrija,"JĀŅA ASARA IELA 5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","67276591, 67296929",rsuskmk@rsu.lv,INĀRA UPMALE,188
46,SALDUS NOVADS,4136003576,Saldus tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"KALNSĒTAS IELA 24, SALDUS, SALDUS NOVADS, LV-3801","63807012, 22320309",info@saldustehnikums.lv,IVETA BĒRZIŅA,693
47,SMILTENES NOVADS,4436003577,Smiltenes tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"KALNAMUIŽA 10, KALNAMUIŽA, SMILTENES PAGASTS, SMILTENES NOVADS, LV-4729","64772567, 26183654, 26529133",smiltenestehnikums@gmail.com,ROLANDS AĢIS,795
48,TUKUMA NOVADS,4135403619,Pulkveža Oskara Kalpaka profesionālā vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālā vidusskola,Aizsardzības ministrija,"VALTERU IELA 6, KANDAVA, TUKUMA NOVADS, LV-3120",20240685,pasts@kalpakaskola.lv,INTARS KUŠNERS,96
49,TUKUMA NOVADS,4136003568,Kandavas Lauksaimniecības tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"VALTERU IELA 6, KANDAVA, TUKUMA NOVADS, LV-3120",63122502,info@kandavastehnikums.lv,DACE ŠEVČUKA,698
50,VALMIERAS NOVADS,2536003578,Valmieras tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"VADU IELA 3, VALMIERA, VALMIERAS NOVADS, LV-4201",29009990,skola@valmierastehnikums.lv,VINETA MELNGĀRŠA,644
51,VALMIERAS NOVADS,2537903643,Valmieras Dizaina un mākslas vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Mākslu izglītības kompetences centrs,Pašvaldība ,"LĀČPLĒŠA IELA 2, VALMIERA, VALMIERAS NOVADS, LV-4201","64207362, 64207372, 20216721, 25669992",vdmv@valmiera.edu.lv,MĀRTIŅŠ PUNDURS,162
52,VENTSPILS,3236003579,Ventspils tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Tehnikums,Izglītības un zinātnes ministrija,"SAULES IELA 15, VENTSPILS, LV-3601",63622663,info@ventspilstehnikums.lv,KRISTĪNE VĀGNERE-DAVIDOVA,821
53,VENTSPILS,3237303588,"Mākslu izglītības kompetences centrs ""Ventspils Mūzikas vidusskola""",Profesionālās pamata un vidējās izglītības iestāde,Mākslu izglītības kompetences centrs,Kultūras ministrija,"LIELAIS LAUKUMS 1, VENTSPILS, LV-3601",63622220,vmv@kultura.lv,JĒKABS MACPANS,111
